subCST,loc,low,intermediate,high
I-A,0.2,0.982387476,0.003913894,0.01369863
I-B,0.4,0.939736347,0.041431262,0.018832392
II,0.8,0.615835777,0.340175953,0.04398827
III-A,1.2,0.874353289,0.087952698,0.037694013
III-B,1.4,0.546856465,0.302491103,0.150652432
V,1.8,0.856603774,0.135849057,0.00754717
IV-A,2.2,0.034246575,0.078082192,0.887671233
IV-B,2.6,0.08612874,0.254759746,0.659111514
IV-C0,3,0.436241611,0.315436242,0.248322148
IV-C1,3.2,0.315789474,0.485380117,0.198830409
IV-C2,3.4,0.608695652,0.275362319,0.115942029
IV-C3,3.6,0.270440252,0.710691824,0.018867925
IV-C4,3.8,0.516129032,0.290322581,0.193548387
